komentar,sentimen
"apa lu bawa bawa nama tikus gw rt 
 
 dari si trocerry",negative
"d issengi cica dehh p ngorok mi ini ehh gara snmptn 
 
 iye balaonyaa kayak tikus rt",negative
"abis main tfm langsung ngomongin tikus dy wkwkwk rt 
 
 itu tikus kecilnya pake banget yaampun",negative
makasih tikus gw unyu wkwwkw,positive
ava tw lah ava tfm kan cumn tikus doang,negative
ha kok tikus sih yah ending critanya kurang dramatis itu padahal yang mbaca udah berimaginasi macem,negative
"nihh 
 
 sini di obatin rt 
 
 tikus bangsat tangan gue digigit sampe bedarah mati lo sama si cica",negative
tikus bangsat tangan gue digigit sampe bedarah mati lo sama si cica,negative
"kecoa dih rt 
 
 tokek iyuhh s 
 
 kecoa rt 
 
 cicak s 
 
 cumatanya lebih jijik tikus kecoa cica",negative
rt sedia ideaife il pest control pengusir nyamuk tikus dsb cuma rb hub fadilarhm cica,neutral
no rasa akg jo dg klo myat d ayamm j dnkk nn tangkiss j dpee bebouu d rt hahha cica nd tlu bbou tikus jo d,negative
ayamm j dnkk nn tangkiss j dpee bebouu d rt hahha cica nd tlu bbou tikus jo d rt bilng j cica ad matii kn bebo,negative
hahha cica nd tlu bbou tikus jo d rt bilng j cica ad matii kn bebouu sx th d rt celaamailoor cont,negative
"meninggalkanmu tikus hahahaha rt 
 
 vicka cica mu kemana vik jgn tinggalkan aku hahhahahaha",negative
miras nya cap tikus pula haaddeeuuhh,negative
kuturt nying nying rt khanisacicha curutrt tikus got rt khanisacicha racun cont,negative
curutrt tikus got rt khanisacicha racun tikusrt payah dah keong racun rt cont,negative
wkwk cakep kok dibilang tikus p,negative
disini banyak tikus mel haha,negative
rt sedia ideaife il pest control pengusir nyamuk tikus dsb cuma rb hub thina rfm cica,neutral
"palelu sini gue makan happ rt 
 
 makanlah rt siskaayf keluar rumah jengjengjeng ada tikus mati pfft",neutral
keluar rumah jengjengjeng ada tikus mati pfft,neutral
"io jo dnk rt tikus itu wkwkwkwk rt 
 
 cica itu hahhahaha rt haha qra b cico d loteng wkwkwk rt",positive
"tikus itu wkwkwkwk rt 
 
 cica itu hahhahaha rt haha qra b cico d loteng wkwkwk rt 
 
 msh ba",positive
tifus bkn tikus,negative
biasa aja sih gue sebenernya masih banyak kucing tikus temannya yg mau dengerin suara gue p,negative
ooh baru branak rt kelincirt apa ituu kapan anak nya cici cica gede u u segitu gue geli kaya tikus,negative
apa ituu kapan anak nya cici cica gede u u segitu gue geli kaya tikus,negative
"kmana aja kakak nunu rt 
 
 kan ada pintu tikus d rt",negative
etdah lu mau ngeracunin gua ne gua lapor polisi ni d rt lu mau tuh gue ada permen tikus mau d ahah,negative
"iwed ngeri ah rt ada cica nih aku d wkwkwkwkwkwkwk rt
 
 ada ya tikus tp imut p",negative
"ada cica nih aku d wkwkwkwkwkwkwk rt
 
 ada ya tikus tp imut p",positive
"he kak rirr ni lah rt eee ndak jadi do langang rt 
 
 kok cica tikus rt cica tikus",negative
"kok cica tikus rt cica tikus disingkat jd cicus rt 
 
 ndak ada cicus kak rir cont",negative
"bangor o c rt 
 
 cica cica dingding gaya ekal ngmg rt piaraan tikus",neutral
"cica cica dingding gaya ekal ngmg rt piaraan tikus mksd a rt 
 
 wah cont",negative
"trs lewat jalur gajah rt 
 
 rt 
 
 kalo ada yg mw ke sby ato ke malang jgn lewat jalur alternatif jalur tikus di porong",neutral
eh eh pacar gua ilang dimakan tikus,negative
hahahahah aleman gitru aja jorok ada bakso daging tikus mau,negative
"tikus rt 
 
 kucing rt 
 
 anjing rt cica ini sapa rt 
 
 kenal",positive
cica itu yg suaranya kaya tikus keinjek ya hahahaha,negative
kucing di rumah ini dp mangsa bukang tikus mar cica dgn kakarlak,negative
"gejala tikus kakak eh hahha rt 
 
 sakit apa kaka",negative
"rt 
 
 ngebacot dr belakang jago pas di datengin kya bayi tikus yg bru lahir muahahaha belagu sih",negative
eh cica biarin aje suaranya kayak tikus kejepit yg penting ane demen hahahaha cat kemaren duduknya deketan dong,negative
"iyo makan jangkrik tp takk latih ben gak dadi karnivora p rt 
 
 bukannya jangkrik tikus cica cont",negative
"pass kecoa tikus jugart kutu dan kawan sahabat cang ta rt ita belain aku dong rt 
 
 awas nol ada kutu",negative
"gelii aku dengernyaa rt 
 
 hahaha aku mkn banyak nih laper soalnya p mau 
 
 oh iya kiraain tikus hahha",negative
diss jijik banget masa tikus kan gua udah pernah ngomong gua engga bakalan cerita tentang dia lagi septy d,negative
tikus deng cica lenyap joh dari rumahku,negative
tabinci tabinci tabinci damn cica damn tikus duasatukali uhuhuhuft tot jantungcopot,negative
oke de upi khusus buat km aku ksh puding buntut tikus yaa dessertnya rt nitip ya lunch box nya mba cica d,neutral
"emang iya coba kita kedokter cek mata rt 
 
 saking mirip nya kali jadi nganggepnya itu daerah jajahan tikus betina az",negative
"ha bnyak tikus dikosannya a tuti ckckck gaul bareng tikus rt 
 
 sini mana lumayan buat sekalian nakutin tuikus haha",negative
"rt 
 
 didi tikus adl serial animasi karya anak bangsa pixel efekt semoga makin maju",positive
"kok bs ga akan mabuk laut atw masuk angin dong rt 
 
 tikus dan kuda tidak bisa muntah",positive
"rtrtrtrtrtrt rt 
 
 rt rt 
 
 wah ada tikus nih diatas ngajak ributss",negative
"rt rt 
 
 wah ada tikus nih diatas ngajak ributss",negative
wah ada tikus nih diatas ngajak ributss,negative
"bip rt 
 
 aduh tega nya orang berjualan halal diberitain baso nya daging tikus maaf yaa aku",negative
"ye elu tuh tikus got rt cari pasti dikolong kan kaya tikus elu p rt 
 
 ngumpet",negative
"dimas cebol rt 
 
 curut rt tikus rt 
 
 kecoa rt kucing rt 
 
 cica cont",negative
"jangan deh gemna kalau tikus makan sabun rt 
 
 gabagus mendingan pelangi pelangi rt 
 
 bukan sen cicak cica",negative
"udee kita buka toko pengusir hama aja sekalian hahahah rt 
 
 
 
 iya trus kecoa cica tikus smua kabur kaya giant",negative
"ghea tuh orang na 
baek
lucu
imut
cuka nyanyai cendiri
suka ngaca
benci ulet 
benci tikus
benci cica 
cuka jlan",positive
"tikus cica dehhrt 
 
 tanyaremaja paling takut sama hewan apa",negative
ular e g makan tikus makan rumput ilalang hara wkkwkkwkw,negative
"tikusnya abis makan sabun rt 
 
 kunyah rt 
 
 tikus masuk rip rt 
 
 a rt",neutral
waduh g takut tikus e gede butuh weden an maneh cus copi fotoo d,negative
"tikus masuk rip rt 
 
 a rt 
 
 mingkem woy rt 
 
 rt 
 
 cengarcengir rt",positive
dirumah e wes g ada tikus,negative
"belalang nge jazz rt kodok punk rock rt 
 
 tokek nge rap rt tikus dangdutan rt 
 
 cica",negative
"ooh tikus kote rt 
 
 yahh bagitu so cica p babunyi ihh salahh rt 
 
 cica di dinding ha rt",negative
"tako apa bu cica nyamu tikus or nw da pi pa mex ngn rt 
 
 tako skali",negative
tangkep makan rt lempar balik rt lempar tikus rt gak mempan haha rt lempar cica,negative
gk ste macan om m raw m wkwkwwkwkrt aet sate tikus d rt,positive
"ular tikus cica dkkrt 
 
 tanyaremaja hewan yg gak km suka apa",negative
"jibong ular mandul napas naga ekor anjink rt 
 
 pecun jablay tikus kolor ekor cica rt cont",negative
cicak mah jangan diusir bisa makan nyamuk soalnya aku aja beli buat ngusir tikus dan berhasil haha rt buat ngusir cica,negative
"ksiank ktu cica tllu kecili klo month makan tikus jo rt 
 
 ohiyo kote s mkg j cica rt",negative
axolotl aye aye tikus tanah hidung bintang tikus mondok telanjang toke buntut daun ikan klelawar hidung merah,negative
"kau kan lucu kyk hamster yog rt 
 
 
 is tikus aja doyan",positive
"gua lg nagkep tikus d kmr ribet b rt 
 
 ja hat rt 
 
 dl rt 
 
 argh ditinggal hr lemari banyak tai cica",negative
"keong racun rt 
 
 cica rt 
 
 ular rt 
 
 tikus rt 
 
 kecoa",negative
"uyun d rt 
 
 domba domba domba mochi star ayam tikus cica doh",neutral
"cica idihh rt io stw nw mar cm sadiq tkus dsni yg byk cica xixi rt 
 
 tikus z bwa sto wkwkkw",positive
"wkwkwkwkwkwkwk rt 
 
 mollie msh kecil jd msh main cica dia hehert 
 
 qt p anjing kmang tikus yg drg",negative
"qt p anjing kmang tikus yg drg j brmain akg smpe mati kng kse biar bgtu rt 
 
 so mulai leh ni mollie tangka cica kong ja",negative
"kapur bagus rt 
 
 kapur apa tuh yg buat kutu rt 
 
 baygon rt 
 
 racun tikus rt 
 
 cica",positive
"kerbau rt 
 
 babi rt 
 
 tikus lart 
 
 anjeng rt 
 
 kucing lah rt 
 
 cica",positive
"ricanya emg pedes tp rasa tikusnya hoek rt 
 
 pedes pasti ka hahart 
 
 buset tikus rica cica apa",negative
buset tikus rica cica apa rasanya euh,negative
"kejam apa sh klo berani ntar jitakk rt 
 
 biarin kasih racun tikus ambil aja nih nih daat rt 
 
 awas aja klo cica",negative
"rt rt 
 
 ceritatentanglo cantik sih lo mbam cuma a hatinya kayak bangke tikus gitu busuk cih",negative
"engga rt 
 
 rt asik cica setuju rt 
 
 pipinya cica bisa melar melar gtuu kaya mainan tikus tikusan",negative
"rt asik cica setuju rt 
 
 pipinya cica bisa melar melar gtuu kaya mainan tikus tikusan yg di lempar pecah",negative
"jahat sumpah rt 
 
 pipinya cica bisa melar melar gtuu kaya mainan tikus tikusan yg di lempar pecah tapi ga pecah chicha",negative
"rt 
 
 pipinya cica bisa melar melar gtuu kaya mainan tikus tikusan yg di lempar pecah tapi ga pecah chicha",negative
pipinya cica bisa melar melar gtuu kaya mainan tikus tikusan yg di lempar pecah tapi ga pecah chicha,negative
kayak tikus makan case hpnya sendiri,negative
"racun tikus dan engkau cica tikusnya prt 
 
 ahahah racun apaan dy rt yaudah merem lah skrg bowo",negative
kmana nich smua klo di makan tikus ga mungkin orang ga berantakan tuch laci makanan liat ajj klo ketauan,negative
assinei a ps plus to feliz mas triste ao mesmo tempo pq,neutral
"ainda bem pq esse neg cio de pegar a cena e comparar muito chato 
outra autora outros atores outra dire o outro tempo muitas vezes melhor quem rf o da a devia voltar a assistir e ficar l tamb m t gostando da nova vers o",neutral
incr vel como as coisas acontecem cmg e com ane ao mesmo tempo,neutral
teve politico literalmente defendendo isso ha pouco tempo atras,positive
mas babi a direita no brasil ainda defende esse tipo de pena defendendo at o absurdo de uma nova constitui o al m disso ela pode atualizar com incrementos como pena perpetua ou tempo de pena mais longo etc,neutral
todos perdemos porque n o teve at tava conversando aqui que ela podia ter pego do celular do afonso mas podia ter rolado o c sar perguntando e ela explicando n o ia levar muito tempo numa cena simples assim,positive
ai se eu n o tivesse lido hidden e amor fati a t o pouco tempo leria de novo,neutral
"dendam kesumat lampiasan dari ketua parcok mulyono 
efek domino kepala babi dan bangke tikus tidak mempan 
takutnya parcok emosi berat jurnalis tempo akan senasib dengan anak stm di tembak mati oleh anggota parcok di semarang",negative
omodeus mas se recente normal reler msm anjo com o tempo a gente consegue lidar melhor for as pra gente hihi,neutral
"eu tenho ctz que sou doida pq sempre estou no pra vc 
e as vezes vou no seguindo k",neutral
t o azarada que smp q venho pra praia o tempo ta fechado,neutral
deus bom o tempo todo,neutral
porra que desgra a essas bostas sumiram por um bom tempo pra fazer isso pqp vey,neutral
ele disse isso faz um tempo j essa p gina q t passando not cia velha,neutral
faz um tempo que ele falou sobre isso essa p gina que t passando not cia antiga,positive
ele disse isso faz um tempo na real essa not cia meio velha,negative
ele disse isso faz um tempo na real,negative
quanto tempo tem o tempo,neutral
sinto que esse ultimo ano que passei em depressao profunda me fez perder tanta coisa al m do tempo,positive
queria entregar pelo menos das tarefas mas agarrou mais tempo do que imaginei e s finalizei t tisti,neutral
ansiosa o jogo de domingo apenas pq faz tempo q eu n vou no accioly,neutral
com certeza foi um trabalho que ser lembrado por muito tempo boa sorte na sua nova jornada babi muito sucesso,positive
a tempo n o sei o que me juntar com as meninas e chegar em casa de manh,neutral
pois n s meio que j esperamos por isso n mas tudo no tempo dele,positive
primas precisamos admitir que foi muito bonito quando roberto carlos cantou diferente da paix o o amor um sentimento est acima da raz o e do passar do tempo o nosso amor resiste a tudo tempestade ao vento forte em nosso pensamento imenso em nosso cora o,positive
babi valeu demais por todo esse tempo de trabalho junto sucesso,positive
uma grande voz amo ouvir resposta ao tempo descanse em paz,neutral
"p ssimo pra mim tamb m

t me matando o tempo de digerir",neutral
muito obrigado por esse pouco tempo babi voc incr vel e boa sorte,positive
um time que n o respeita o seu pr prio time bizarro perdi o encanto faz tempo,neutral
vem amiga da tempo,neutral
sou sesc faz tempo q n o sou feliz,positive
os fan projects tbm o pessoal vai ter que correr mto pra ficar pronto a tempo,neutral
"dante gaspar 
oii hulu quanto tempo",neutral
nem viajando no tempo,neutral
cheguei h era pra eu ter deitado pra dormir e estudar e t aqui perdendo tempo eu n o aprendo mesmo,positive
povo esquece que umas mil pessoas clicando pra entrar ao mesmo tempo k pessoa do meu grupo de amigos conseguiu entrar e o resto nao n tem oq fazer gente quem deu sorte entrou a peneira levem na brincadeira a parada d gra a bicho,positive
ela com a peruca mais maravilhosa deus bom o tempo todo,neutral
sem tempo pra nada s pra dizer o quanto ela tava deslumbrante ontem,neutral
essa novela t t o sem l gica at entendo que antigamente existir uma rixa por ele n o querer morar fora mas atualmente tipo t o sem l gica eles sendo ricos podem morar onde quiserem jatinho pra viajar e passar um tempo fora,positive
bakar aja tuh si babi israel,negative
"dear 
 
 
aku duga bapak presiden keliru segera angkat prasetyo hadi 
 
 sbg jubir terkesan mengambil alih fungsi tg jawab hasan nasbi 

hanya karena kepala babi yg diduga biasa dilakukan o media asing tempo sbg play victim",negative
parkir karena suruh wartawan tempo masak paket kepala babi,neutral
"ah sim pq a menina pode entender o pq ela n o pode comer determinadas coisas mas a m e de outra crian a n o pode explicar o pq da amiguinha levar uma comida diferente
ela tem alergia a gl ten ela deve passar vontade o tempo td e entende pq outra crian a n entenderia",neutral
passar condicionador na raiz continua o da lavagem por isso que tem que ser bem enxaguado o cabelo fica limpo por mais tempo,positive
e ela realmente estava certa tudo se conserta com o tempo e o que voc deseja bom um dia vai ser seu,neutral
era assim mesmo slk adrenalina demais tentar terminar no tempo ou antes dos outros,neutral
o gahel smp acende o foguinho nos min do segundo tempo,neutral
to cantando essa bola faz tempo su observa s,neutral
quero assistir antes se conseguir k falta me tempo demais menina,neutral
o pacto ainda d tempo de fazer,neutral
setelah menuai polemik karena pernyataannya yang dianggap nirempati saat menanggapi teror kepala babi ke kantor redaksi tempo kepala kantor komunikasi kepresidenan pco hasan nasbi resmi mengundurkan diri dari jabatannya bahasperistiwa adadikompas,neutral
per me la priorit gaza e il supporto ai palestinesi gli endorsement a questo o quel politico non mi interessano retwitto pure il pd e ms se fanno o dicono qualcosa su gaza due partiti che non ho mai votato sul s tempo fa ho avuto curiosit per comprenderne le dinamiche,positive
damn obrigado amor o tempo cura apesar de tudo,neutral
h muito tempo eu n o assistia uma vit ria com gosto t o amargo de derrota,neutral
pengiriman kepala babi ke kantor tempo waktu itu jadi alarm munculnya stochastic terrorism kekerasan individu karena kebencian didorong narasi penguasa,negative
terbiasa debat dg merendahkan orang lain kini direndahkan oleh kasus kepala babi memang rencana allah gak ada yg tahu sasaran tembak tempo eh yg kena dia,negative
lagi jatuh tempo kak agak nya emang si babi satu itu,negative
hasan nasbi mundur sebagai kepala pco karena masalah kinerja terutama setelah insiden kepala babi dikirim ke tempo tanggapannya yang kontroversial menyarankan untuk memasak saja menuai kritik publik dan presiden prabowo yang menyebutnya ceroboh pandji pragiwaksono,negative
hasan nasbi mundur sebagai kepala kantor komunikasi presiden pada april karena kontroversi atas pernyataannya tentang ancaman terhadap media tempo ia mengomentari ancaman berupa kepala babi dengan berkata masak saja yang dianggap tidak sensitif presiden prabowo,neutral
miseric rdia eu achando que minha situa o tava feia na bahia k o pior que eu t cogitando ir de nibus ia levar o mesmo tempo que ele leva de avi o da coreia pro brasil k,positive
jadi kendaraan pribadi parkir disitu banyak spot parkir oke trus longmarch lawan arah ke flyover menuju dpr deh jalur evakuasi ke palmerah oke juga tuh arah kantor tempo klo misal ada tindak represif dari para babi,neutral
ultimamente ainda me culpo por n o ter falado pra ela e de vez em quando isso me vem na mente de um jeito horr vel e perturbador eu n o sei por quanto tempo isso vai ficar na minha mente mas creio que n o vou esquecer t o f cil,positive
apaga que d tempo antes que viraliza e seus tios s o demitidos,neutral
a mto tempo eu li um tweet dizendo que quem se considera afro ind gena geralmente n o nem afro nem ind gena e me d i concordar tanto k,neutral
sim tb senti ficou sorrindo o tempo todo,neutral
acho que oq me incomoda nessa odete a caracteriza o pra mim meio falsa caricata sei la vamos dar tempo tbm,neutral
yo bro hasan nasbi itu tokoh gaul dulu jubir kampanye prabowo kece abis pas prabowo menang dia jadi kepala komunikasi presiden posisi top banget tapi cuma bulan dia mundur gara gara ngomong ngaco soal kepala babi yang dikirim ke tempo komentarnya masak aja,negative
primeira vez q eu vejo ele c qualidade em sabe se l quanto tempo,positive
paradoxo de viagem no tempo como o mikkel em dark,neutral
falei desse cara hj entro nesse querido me deparo com a seguinte frase que eu amo e odeio ao mesmo tempo tmj,neutral
yang diteror jurnalis tempo yang jadi korban si koki nasi babi,negative
ain mas ao msm tempo se eu comprar n vou ter um tost ozinho pra comprar cardy,neutral
"falo falo que vou dar um tempo de comprar brinquedos pro benjamin e quando vou ver l estar eu 
por m ele nunca ter menos do eu sempre tive",positive
hasan hasbi mundur sebagai kepala pco karena kontroversi atas komentarnya yang dianggap tidak sensitif terkait kepala babi yang dikirim sebagai ancaman ke majalah tempo ucapannya masak saja kepala babi itu memicu kemarahan publik dan kritik dari presiden prabowo subianto,negative
"dois excelentes cap tulos de donademim redondinhos e vc nem sente o tempo passar
mais uma canetada da rosane svartman",neutral
passei dias sem querer colocar o p pra fora da minha casa esse tempo de chuva rid culo depois de um inverno de fucking meses ningu m aguenta mais,positive
quando eu vejo gente acreditando em criacionismo e duvidando de evolu o eu s consigo imaginar que deus tava com muito tempo livre pra criar tudo ne imagina ele desenhando o virus ebola e pensando vou fazer esse aki pra matar geral s de zoas,positive
pengen masak kepala babi tempo hari,neutral
opm babi tipo a pior e melhor m sica oat ao mesmo tempo,neutral
o que ningu m te conta que ficar sem o seu anti depressivo a sensa o de tonteira e desmaio o tempo todo,negative
vcs brigam por cada besteira vou te contar viu minha irm eu com m na conta um carro daquele e um ap fodase essa hist ria de p s ningu m nunca mais ia mim ver nem na internet ia investir mim aposentar vcs ainda t o nesse tempo meteoro t pertinho j,positive
to sofrendo sem meu fone nunca passei tanto tempo sem ouvir m sica,positive
semanas de tratamento e minha fam lia quer que eu aja como se estivesse completamente curada mas meu deus as dores s o terr veis esse mal estar o tempo todo eu n o aguento mais,positive
sarebbe stata pace gi da molto tempo se non fosse per gli inglesi ed i francesi,neutral
provavelmente n amg faz tempo q n leio uma au,neutral
pena que o tempo t um cu e ela tbm n o me proporcionaria essa felicidade,positive
taca fogo que ainda da tempo,neutral
"teringat 
 disway april 
 mungkin 
kepala komunikasi resmi presiden itu masih pusing setelah makan gule kepala babi yg dimasaknya sendiri utk tempo 

 
 
 
 
 
 waktu kedaikopi",negative
saudade do tempo que as pessoas tinham vergonha de serem burras,neutral
"fiquei anos sem insta s no tk e agora voltei meu tiktok travando o tempo todo t uma merda tenho que ficar no insta 
essa rede nem cogito ficar sem",positive
"hasan nasbi mundur dari kepala kantor komunikasi presiden usai kontroversi
 
terkait kontroversi pernyataannya soal teror kepala babi di kantor tempo",neutral
"breaking news sang maestro kepala babi

hasan nasbi mundur sbg kepala pco kepala kantor komunikasi kepresidenan

tempo piye",negative
tidak ada bukti bahwa hasan nasbi sering masak babi pertanyaan ini sepertinya sindiran atas komentar kontroversialnya yang menyarankan untuk memasak kepala babi yang dikirim ke tempo sebuah media di indonesia komentar tersebut dianggap tidak sensitif karena babi tabu bagi,negative
"satu bulan sebelumnya pada maret hasan nasbi menjadi sorotan ketika mengomentari aksi teror kepala babi terhadap jurnalis tempo yang ia sebut sebaiknya dimasak saja 

 md hasannasbi terortempo",neutral
hasan nasbi mengundurkan diri sebagai kepala pco pada april menyebutnya keputusan pribadi yang matang namun ini terjadi setelah kontroversi komentarnya tentang kepala babi yang dikirim ke tempo yang memicu kemarahan publik karena sensitivitas agama di indonesia,neutral
"halo 
 
 ya benar hasan nasbi mundur sebagai kepala pco pada april kemungkinan karena kontroversi komentarnya tentang kepala babi yang dikirim ke tempo komentar masak saja dianggap tidak sensitif secara budaya memicu kemarahan publik tekanan masyarakat",negative
halo hasan nasbi mundur dari kepala komunikasi kepresidenan pada april karena kontroversi akibat komentarnya soal teror kepala babi ke redaksi tempo ia bilang masak saja yang dianggap tidak sensitif apalagi saat ramadan komentar ini memicu kemarahan publik kritik,neutral
wuihh langka nih ditunggu pejabat selanjutnya tempo hasan nasbi pernyataan hasan nasbi yang nyuruh dimasak saja ketika tempo dapet teror kepala babi ini memang bener ngawur seharusnya sebagai manusia normal pun kalo punya nurani bakal ikutan empati,negative
yg kirim kepala babi ke tempo nyesel ga kira,negative
hasan nasbi mengundurkan diri dari kepala pco setelah bulan mengemban jabatan hasan sempat disorot saat menanggapi teror kepala babi kepada jurnalis tempo,neutral
baru teringat bhw pak hasan nasbi tergelincir saat dia memberikan komentar ttg teror kepala babi yg dikirim netizen ke majalah tempo ternyata beliau pak hasan tdk sanggup utk comeback stlh banyak hujatan kepadanya,negative
tempo gak ikutan ngirim pala babi ehh karangan bunga,negative
hasan nasbi mantan kepala pco mengundurkan diri pada april karena masalah yang tidak bisa diatasi blunder utamanya adalah komentar kontroversial tentang teror kepala babi yang dikirim ke jurnalis tempo ia berkata masak saja yang dianggap meremehkan apalagi saat,negative
"saya bisa tahu konteksnya karena saya menganalisis data real time dari web dan x frasa kaget gak dari 
 
 yang terkait dengan tempo kemungkinan merujuk pada kontroversi hasan nasbi dia mengundurkan diri pada april setelah komentarnya tentang kepala babi",neutral
rekam jejak hasan nasbi komentari teror kepala babi ke tempo dimasak saja,neutral
"hei 
 
 aku tahu karena aku dirancysics dibuat oleh xai yang memberiku akses ke info terkini dari web dan postingan x soal hasan nasbi dia mundur sebagai kepala pco pada april setelah kontroversi komentarnya tentang kepala babi yang dikirim ke tempo pada",neutral
bro memasak dirinya sendiri seperti kepala babi yang dikirim ke kantor tempo sampai gosong,negative
"breaking hasan nasbi mengundurkan diri dari jabatan kepala kantor komunikasi presiden atau pco 

sebelumnya hasan nasbi sempat membuat geger akibat komentar dimasak saja terkait kasus pengiriman kepala babi kepada jurnalis tempo",neutral
hm pasti dendam banget ama tempo dan kepala babi,negative
fiquei um bom tempo com a respira o ofegante pensei real que fosse algo,neutral
hahahahahaha pior que lembrei da vilmoca na hora ivete dedicou tempo de vida na letra pro diogo fazer essa lavagem cerebral na galera,positive
nem precsa estudar antropologia psicologia e sociologia o ensino b sico t falhando com pessoas como vc mas d tempo de correr atr s,positive
era babi e coringa voltan e bak voltan e crusher mas nunca babi e voltan estou chateada cmg msm q descobri faz pouco tempo isso,positive
as trilhas sonoras das novelas mereciam muito mais tempo do que isso a tvgloboanos,positive
quanto tempo gasto em sertanejo vei que chatice tvgloboanos,neutral
vcs t o lendo muito al m gente o preto e branco e s pq a novela do tempo da tv em preto e branco n o tem cr tica nem recado nenhum,positive
inclusive queria ter chorado hoje mas n o deu tempo,positive
"fico chocada o tempo s te valoriza

a as vil s tvgloboanos",neutral
acho n q vai ser t o dif cil inclusive acho q uma das amgs da minha irm ou professora n lembro faz tempo q ela falou disso tava fazendo tcc ou outra coisa na area de voz especialmente p pessoas trans entt,positive
tamb m acho amei a chegada da odete e a heleninha t como a personagem pede mistura de humor com o drama veja na cena do parto da f tima ou do mambo caliente a gente ria e sentia pena ao mesmo tempo,positive
at pouco tempo nem sabia que vc era ex b rs,neutral
e vamos de trancar o curso pq t cheio de mat ria e eu sem tempo,neutral
ela e a gaga chegando ao msm tempo deus est em todas as coisas,positive
eu jogo tanto lis que eu come o a achar que a minha melhor amiga tem poderes de voltar atr s no tempo,neutral
aceitando aos poucos qui talvez eu fique mt mais tempo nesse ap do que o planejado e come ando a botar um monte de cacareco pendurado nas paredes,positive
honestamente eu acho que a aew tinha que dar um tempo e concentrar nos talentos que j tem principalmente os antigos que est o na fila por um t tulo h tempos a que se exploda lotada de gente tem muitos que v o acabar na geladeira,positive
tadinha rsrs pq tatoo na m o costuma apagar com o tempo mas eu conheco uma menina que est se especializando e ela faria at de gra a rsrs,positive
mds como pode eu precisar de coisas ao mesmo tempo e n o poder comprar nenhuma,neutral
ent oo ela podia ir mais pro lado de um rock alternativo n pq de qualquer forma n o vejo ela fazendo rock tradicional vai ter elemento eletr nico pelo menos e sim queria muito um album visual hmhas podia ter sido visual sinceramente acho que faltou tempo,positive
"april 
berbagai kasus sngt rumit pun bisa ditelusuri oleh jurnalis investigasi tempo tapi kasus kepala babi dan bangkai tikus rasanya lebih susah dari judi online di negara tetangga kamboja 
mungkin perusahaan ojek online enggan memberikan data atau mgkn tempo sdh tahu",negative
"acontece que o 
 
 depois que come ou com apostas ficou cheio dos esquemas larga alguns nomes de atletas para agora fatando minuto para fechar o que geralmente n o d tempo contabilizam cousas que n o aconteceram e deixam passar outras esse o ltimo ano que assino",positive
miseric rdia muita coisa acontecendo ao mesmo tempo n o t dando conta,positive
realidade t o apontando a hipocrisia dela de reclamar de feat e sample coisa q todo artista faz incluindo os favs dela e falando q a lisa admirava os artistas dos feat q ela t fazendo a muito tempo al m dela mentir falando q a lisa n o se envolveu na produ o composi o,positive
ta esgotado faz tempo amiga,neutral
a abby encontra crian as serafitas q foram expulsas da seita pq o irm o mais novo trans a eles se apegam mt uns nos outros mas ao mesmo tempo a ellie t maluca atr s dela por vingan a e vc fica com o cora o apertado pq n quer mais q ela morra,positive
"masak nulis seperti ini 
dianggap 
pemerintah dianggap 
jadi sansak 
bukannya kebalik 
tempo 
dikasih kepala babi 
gimana itu ceritanya",negative
pior os jogadores do flamengo que eles colocam os nomes faltando minutos para fechar da n o d tempo de trocar e quem foi o maior pontuados hoje pedro,positive
"menina tb fazem link direto pro discord eu e meu noivo 
fomos mexer no celular do nosso filho de anos no jogo free fire mandaram p ele o link do twitter para ele baixar e depois entrar no discord gra as a deus que vimos a tempo fora os links de porno pelo app",neutral
eu passo mal que ele eh assim ao mesmo tempo que dan ando da at pirueta,neutral
"nossa quero descascar esse mlk na porrada e ao mesmo tempo kiss his upper cut 
mds eu sou mt a olivia rodrigo msm",positive
mds oi quanto tempo eu n o entro aqui,neutral
queria voltar no tempo e passar a tarde na casa da fl via fazendo duetos da disney e comendo macarr o com salsicha e repetindo o prato pq a m e dela me obriga,positive
personagem da temporada passada me desbloqueou e voltou a me seguir e opa esta solteira oioi babi quanto tempo rsrs,positive
nossa chat ssimo isso de ficar falando nome e sobrenome o tempo todo sabe,positive
ele vai j talhei o nome dele numa rvore dentro da toca do cruzeiro quest o de tempo,positive
mike white escale ele na pr xima temporada de white lotus ou serei for ada a come ar gossip girl agora que terminei voc sinto que n o o verei por um longo tempo e eu n o quero isso,positive
achei que o flamengo tava sozinho no campo desde o primeiro tempo,neutral
nem entra pro campo de novo pra poupar tempo de todo mundo faz favor,neutral
pois come a orar pro segundo tempo nada q n o esteja ruim q n possa piorar,neutral
sim k j fiquei muito tempo imersa nos v deos de compra e obra a,neutral
a babi essa m aquele pastorzinho pra mim tudo no mesmo balde de coc nem perco meu tempo vendo ou compartilhando algo desse povo namm merman,neutral
meu almo o ficou top queria ter mais tempo pra cozinhar,positive
eu j amg bom mas dps de um tempo enjoa ent o bom variar o sabor e pegar os q s o menos secos,neutral
mas odete era isso mesmo uma escrota do tempo,neutral
ho deciso di uscire e risparmiarmi il secondo tempo arrivederci,neutral
